geography,mic_buffer,year,Estimate: American Indian and Alaska Native,Estimate: Asian,Estimate: Black or African American,Estimate: Native Hawaiian and Other Pacific Islander,Estimate: Other,Estimate: Hispanic or Latino,Estimate: white,Estimate: Total,Share: American Indian and Alaska Native,Share: Asian,Share: Black or African American,Share: Native Hawaiian and Other Pacific Islander,Share: Other,Share: Hispanic or Latino,Share: white
Ballard-Interbay,MIC Boundary,2022,0,122,8,0,83,95,614,923,0,0.13217768147345613,0.00866738894907909,0,0.08992416034669556,0.10292524377031419,0.6652221018418202
Duwamish,MIC Boundary,2022,25,216,94,8,81,131,656,1211,0.02064409578860446,0.17836498761354252,0.07762180016515277,0.006606110652353427,0.06688687035507845,0.10817506193228736,0.541701073492981
Kent MIC,MIC Boundary,2022,0,7,0,0,96,89,90,283,0,0.024734982332155476,0,0,0.3392226148409894,0.31448763250883394,0.31802120141342755
North Tukwila,MIC Boundary,2022,0,7,6,1,2,8,11,36,0,0.19444444444444445,0.16666666666666666,0.027777777777777776,0.05555555555555555,0.2222222222222222,0.3055555555555556
Sumner Pacific,MIC Boundary,2022,0,2,1,0,2,11,60,76,0,0.02631578947368421,0.013157894736842105,0,0.02631578947368421,0.14473684210526316,0.7894736842105263
Puget Sound Industrial Center- Bremerton,MIC Boundary,2022,0,13,0,0,22,1,77,113,0,0.11504424778761062,0,0,0.19469026548672566,0.008849557522123894,0.6814159292035398
Frederickson,MIC Boundary,2022,0,21,43,11,81,114,359,629,0,0.033386327503974564,0.06836248012718601,0.017488076311605722,0.1287758346581876,0.18124006359300476,0.5707472178060413
Port of Tacoma,MIC Boundary,2022,6,124,68,5,5,168,442,817,0.0073439412484700125,0.15177478580171358,0.0832313341493268,0.006119951040391677,0.006119951040391677,0.20563035495716034,0.5410036719706243
Cascade,MIC Boundary,2022,1,39,23,0,89,220,483,854,0.00117096018735363,0.04566744730679157,0.026932084309133488,0,0.10421545667447307,0.2576112412177986,0.5655737704918032
Paine Field / Boeing Everett,MIC Boundary,2022,1,313,40,22,47,77,591,1089,9.182736455463728e-4,0.2874196510560147,0.03673094582185491,0.020202020202020204,0.04315886134067952,0.0707070707070707,0.5426997245179064
All MICs,MIC Boundary,2022,33,864,283,47,508,914,3383,6031,0.005471729398109766,0.14325982424141934,0.04692422483833527,0.0077930691427623945,0.08423147073453822,0.15155032332946444,0.5609351682971315
Ballard-Interbay,1/4 mile buffer,2022,167,6532,690,26,3161,3376,27339,41289,0.004044660805541427,0.1582019424059677,0.016711472789362785,6.297076703238151e-4,0.0765579209959069,0.08176511903896921,0.6621376153454915
Duwamish,1/4 mile buffer,2022,177,6953,2101,112,1875,3022,11029,25273,0.007003521544731532,0.27511573616112056,0.0831321964151466,0.004431606853163455,0.07418984687215606,0.11957424919874965,0.43639457128160486
Kent MIC,1/4 mile buffer,2022,83,2564,1984,466,1323,2551,4623,13600,0.006102941176470588,0.1885294117647059,0.14588235294117646,0.03426470588235294,0.09727941176470588,0.1875735294117647,0.3399264705882353
North Tukwila,1/4 mile buffer,2022,163,1809,961,84,269,1948,2190,7425,0.021952861952861953,0.24363636363636362,0.12942760942760942,0.011313131313131313,0.03622895622895623,0.26235690235690234,0.29494949494949496
Sumner Pacific,1/4 mile buffer,2022,3,217,219,245,448,712,3008,4849,6.186842647968653e-4,0.04475149515363992,0.04516395133017117,0.05052588162507734,0.09239018354299855,0.1468343988451227,0.6203340895029903
Puget Sound Industrial Center- Bremerton,1/4 mile buffer,2022,4,45,5,29,109,81,421,692,0.005780346820809248,0.06502890173410404,0.0072254335260115606,0.04190751445086705,0.15751445086705201,0.11705202312138728,0.6083815028901735
Frederickson,1/4 mile buffer,2022,70,527,1177,202,992,1803,5500,10273,0.006813978389954249,0.0512995230215127,0.1145721794996593,0.019663194782439403,0.0965638080404945,0.17550861481553587,0.5353840163535482
Port of Tacoma,1/4 mile buffer,2022,49,497,310,47,237,625,2202,3972,0.012336354481369587,0.12512588116817724,0.07804632426988922,0.011832829808660624,0.05966767371601209,0.15735146022155086,0.554380664652568
Cascade,1/4 mile buffer,2022,240,598,184,0,1226,2030,9410,13686,0.017536168347216132,0.04369428613181353,0.013444395732865702,0,0.08958059330702908,0.14832675727020314,0.6875639339470992
Paine Field / Boeing Everett,1/4 mile buffer,2022,29,3534,1611,183,1674,3210,11646,21890,0.0013248058474189127,0.16144358154408406,0.07359524897213339,0.008359981726815898,0.07647327546825035,0.14664230242119689,0.532023755139333
All MICs,1/4 mile buffer,2022,985,23276,9242,1394,11314,19358,77368,142949,0.0068905693638990125,0.1628273020447852,0.0646524284884819,0.009751729637842868,0.07914710840929283,0.1354189256308194,0.5412279904021714
Ballard-Interbay,1/2 mile buffer,2022,207,11349,1491,40,6062,5918,51842,76905,0.0026916325336454067,0.147571679344646,0.019387556075677784,5.2012222872375e-4,0.07882452376308433,0.07695208373967882,0.6741044145374163
Duwamish,1/2 mile buffer,2022,305,16240,6833,280,4512,7037,26587,61793,0.004935834155972359,0.26281293997702004,0.11057886815658731,0.00453125758581069,0.07301797938277799,0.11388021296910654,0.43025909083553154
Kent MIC,1/2 mile buffer,2022,177,5095,4155,1186,2157,4744,8957,26474,0.006685804940696533,0.1924529727279595,0.15694643801465588,0.04479867039359371,0.08147616529425096,0.17919468157437485,0.33833194832666014
North Tukwila,1/2 mile buffer,2022,274,5103,2472,188,728,3849,5218,17832,0.015365634813817856,0.28617092866756394,0.1386271870794078,0.010542844324809331,0.0408254822790489,0.2158479138627187,0.29262000897263346
