geography,mic_buffer,year,Estimate: American Indian and Alaska Native,Estimate: Asian,Estimate: Black or African American,Estimate: Native Hawaiian and Other Pacific Islander,Estimate: Other,Estimate: Hispanic or Latino,Estimate: white,Estimate: Total,Share: American Indian and Alaska Native,Share: Asian,Share: Black or African American,Share: Native Hawaiian and Other Pacific Islander,Share: Other,Share: Hispanic or Latino,Share: white
Sumner Pacific,1/2 mile buffer,2022,19,1008,727,342,1032,1809,8958,13898,0.0013671031803137142,0.07252842135559073,0.05230968484674054,0.024607857245646857,0.07425528853072384,0.13016261332565837,0.6445531731184343
Puget Sound Industrial Center- Bremerton,1/2 mile buffer,2022,8,74,11,64,202,176,804,1339,0.00597460791635549,0.05526512322628827,0.008215085884988798,0.04779686333084392,0.1508588498879761,0.13144137415982077,0.6004480955937267
Frederickson,1/2 mile buffer,2022,156,1237,2150,565,2127,4029,10760,21025,0.007419738406658739,0.05883472057074911,0.10225921521997622,0.026872770511296076,0.1011652794292509,0.19162901307966707,0.5117717003567182
Port of Tacoma,1/2 mile buffer,2022,240,1507,1134,182,1416,1974,8484,14939,0.016065332351563023,0.10087689939085615,0.07590869536113529,0.012182877033268626,0.09478546087422184,0.13213735859160586,0.5679094986277529
Cascade,1/2 mile buffer,2022,328,1075,271,0,1865,3256,15375,22164,0.014798772784695904,0.04850207543764663,0.012227034831257895,0,0.08414546110810323,0.14690489081393251,0.6936924742826205
Paine Field / Boeing Everett,1/2 mile buffer,2022,127,7591,3398,283,3177,7464,24394,46439,0.0027347703438919875,0.16346174551562265,0.07317125691767695,0.00609401580568057,0.0684123258468098,0.16072697517173065,0.5252912422748122
All MICs,1/2 mile buffer,2022,1841,50279,22642,3130,23278,40256,161379,302808,0.006079760112018177,0.16604250878444426,0.07477345380571188,0.010336582917228079,0.0768737946157301,0.13294232649071358,0.5329416660061821
Ballard-Interbay,3/4 mile buffer,2022,231,17590,2495,73,8466,7874,74373,111098,0.0020792453509514124,0.15832868278456858,0.02245765000270032,6.570775351491476e-4,0.07620299195305046,0.07087436317485463,0.6694359934472268
Duwamish,3/4 mile buffer,2022,574,26079,13561,479,7779,12128,45675,106279,0.0054008788189576495,0.24538243679372218,0.12759811439701163,0.004507005146830512,0.07319413995238946,0.11411473574271493,0.42976505236217877
Kent MIC,3/4 mile buffer,2022,217,7653,5299,1396,2853,6578,12152,36143,0.006003928838225936,0.21174224607807873,0.14661206872700108,0.03862435326342584,0.07893644689151426,0.18199928063525442,0.3362200149406524
North Tukwila,3/4 mile buffer,2022,338,9714,5290,335,1552,6081,9697,33000,0.010242424242424242,0.2943636363636364,0.1603030303030303,0.010151515151515151,0.04703030303030303,0.18427272727272728,0.29384848484848486
Sumner Pacific,3/4 mile buffer,2022,53,1993,1354,819,1876,3393,16551,26041,0.0020352521024538228,0.07653315924887677,0.051994931070235395,0.03145040513037134,0.07204024423025229,0.13029453554010983,0.6355746707115703
Puget Sound Industrial Center- Bremerton,3/4 mile buffer,2022,9,84,13,75,232,207,1042,1661,0.005418422636965683,0.050571944611679714,0.007826610475617099,0.04515352197471403,0.13967489464178207,0.12462372065021071,0.6273329319686936
Frederickson,3/4 mile buffer,2022,214,2024,3275,916,3144,5961,16203,31731,0.0067441933755633295,0.06378620276701018,0.1032113705839715,0.028867668841196306,0.09908291576061265,0.187860451923986,0.5106362862815543
Port of Tacoma,3/4 mile buffer,2022,597,2866,2749,371,2994,3938,17294,30817,0.019372424311256773,0.09300061654281727,0.08920401077327449,0.012038809747866438,0.09715416815394101,0.1277866112859785,0.5611837622091702
Cascade,3/4 mile buffer,2022,401,1773,319,42,2336,4106,20507,29485,0.01360013566220112,0.06013227064609123,0.01081906053925725,0.001424453111751738,0.07922672545362049,0.1392572494488723,0.6955061895879261
Paine Field / Boeing Everett,3/4 mile buffer,2022,193,11326,4976,418,5059,10942,37109,70022,0.0027562765987832393,0.16174916454828484,0.07106338008054612,0.00596955242638028,0.07224872183028191,0.1562651738025192,0.5299620119391049
All MICs,3/4 mile buffer,2022,2827,81102,39331,4924,36291,61208,250603,476277,0.005935621497573891,0.1702832595317431,0.08258009519670276,0.01033852149064515,0.076197254958774,0.1285134491062974,0.5261706947847576
Ballard-Interbay,1 mile buffer,2022,330,23716,3499,85,10531,9965,97081,145210,0.00227257075958956,0.16332208525583639,0.0240961366297087,5.853591350457958e-4,0.07252255354314441,0.06862475036154535,0.6685558845809517
Duwamish,1 mile buffer,2022,982,37480,20489,794,11587,17428,72131,160892,0.006103473137259776,0.23295129652189045,0.12734629440867165,0.004934987444994158,0.0720172538100092,0.10832110981279368,0.44831936951495416
Kent MIC,1 mile buffer,2022,411,11909,7807,1963,4440,9731,18315,54578,0.007530506797610759,0.21820147312103777,0.14304298435266957,0.0359668730990509,0.0813514602953571,0.17829528381399098,0.33557477371834804
North Tukwila,1 mile buffer,2022,400,15470,11375,491,2842,9102,15218,54900,0.007285974499089253,0.28178506375227685,0.20719489981785064,0.008943533697632058,0.051766848816029144,0.16579234972677595,0.2771948998178506
Sumner Pacific,1 mile buffer,2022,92,2721,1863,978,2727,4572,22271,35220,0.002612152186257808,0.0772572402044293,0.052896081771720616,0.02776831345826235,0.07742759795570699,0.12981260647359455,0.6323395797842135
Puget Sound Industrial Center- Bremerton,1 mile buffer,2022,10,87,13,79,242,214,1257,1901,0.0052603892688058915,0.04576538663861126,0.006838506049447659,0.041557075223566546,0.12730142030510258,0.11257233035244608,0.6612309310889006
Frederickson,1 mile buffer,2022,222,2761,4475,1299,4582,8203,23409,44940,0.0049399198931909215,0.06143747218513574,0.09957721406319538,0.02890520694259012,0.10195816644414775,0.18253226524254562,0.520894526034713
Port of Tacoma,1 mile buffer,2022,885,4659,4711,968,4781,6672,27007,49691,0.017810066209172686,0.09375943329778028,0.09480590046487292,0.019480388802801313,0.09621460626672838,0.1342697872854239,0.5434988227244371
Cascade,1 mile buffer,2022,437,2396,441,104,2846,5007,25688,36914,0.011838326922035,0.06490762312401799,0.011946686893861408,0.0028173592674865904,0.07709811995448881,0.13563959473370538,0.6958877390691879
Paine Field / Boeing Everett,1 mile buffer,2022,250,13950,6025,555,6441,13374,47683,88281,0.0028318664265243937,0.15801814660006117,0.06824798087923789,0.006286743466884154,0.07296020661297448,0.15149352635334898,0.5401275472638507
All MICs,1 mile buffer,2022,4019,115149,60698,7316,51019,84268,350060,672527,0.005975968251088804,0.17121840461423854,0.09025362550499831,0.010878373656373647,0.07586163826879813,0.1253005455543049,0.5205144180084963
